min_liquidity,min_volatility_thr,trendiness_thr,roll_vol_bars,num_pass,tickers
20000,0.3,25,100,46,"['M&M', 'MOTHERSUMI', 'NIITLTD', 'OIL', 'ONGC', 'ORICONENT', 'RESPONIND', 'RPPINFRA', 'TATACOMM', 'TATAMOTORS', 'TATAMTRDVR', 'TATASTLBSL', 'TEXRAIL', 'VASCONEQ', 'ZENSARTECH', '20MICRONS', 'ABFRL', 'ADANIPORTS', 'APOLLO', 'ARVIND', 'AUBANK', 'BALRAMCHIN', 'BOMDYEING', 'CANBK', 'CAMLINFINE', 'DBL', 'DELTACORP', 'DHANI', 'FSL', 'GICRE', 'HDFC', 'HDFCBANK', 'HINDALCO', 'IEX', 'INFY', 'INTELLECT', 'IRCTC', 'JSL', 'POONAWALLA', 'DEVYANI', 'LATENTVIEW', 'PASUPTAC', 'SUPRIYA', '3IINFOLTD', 'COALINDIA (1)', 'JSWSTEEL (1)']"
20000,0.3,30,100,30,"['MOTHERSUMI', 'NIITLTD', 'OIL', 'ORICONENT', 'RPPINFRA', 'TATAMOTORS', 'TATAMTRDVR', 'TEXRAIL', 'ABFRL', 'APOLLO', 'ARVIND', 'AUBANK', 'BALRAMCHIN', 'CAMLINFINE', 'DBL', 'DELTACORP', 'DHANI', 'FSL', 'HDFC', 'HINDALCO', 'IEX', 'INFY', 'INTELLECT', 'IRCTC', 'POONAWALLA', 'DEVYANI', 'PASUPTAC', 'SUPRIYA', 'COALINDIA (1)', 'JSWSTEEL (1)']"
20000,0.5,25,100,32,"['M&M', 'MOTHERSUMI', 'NIITLTD', 'OIL', 'RESPONIND', 'RPPINFRA', 'TATACOMM', 'TATAMOTORS', 'TATAMTRDVR', 'ZENSARTECH', 'ABFRL', 'ADANIPORTS', 'APOLLO', 'AUBANK', 'BALRAMCHIN', 'BOMDYEING', 'CAMLINFINE', 'DBL', 'DELTACORP', 'DHANI', 'GICRE', 'HDFC', 'HDFCBANK', 'HINDALCO', 'INFY', 'INTELLECT', 'IRCTC', 'JSL', 'POONAWALLA', 'LATENTVIEW', 'SUPRIYA', 'JSWSTEEL (1)']"
20000,0.5,30,100,22,"['MOTHERSUMI', 'NIITLTD', 'OIL', 'RPPINFRA', 'TATAMOTORS', 'TATAMTRDVR', 'ABFRL', 'APOLLO', 'AUBANK', 'BALRAMCHIN', 'CAMLINFINE', 'DBL', 'DELTACORP', 'DHANI', 'HDFC', 'HINDALCO', 'INFY', 'INTELLECT', 'IRCTC', 'POONAWALLA', 'SUPRIYA', 'JSWSTEEL (1)']"
20000,0.7,25,100,28,"['M&M', 'MOTHERSUMI', 'NIITLTD', 'OIL', 'RESPONIND', 'TATACOMM', 'TATAMOTORS', 'TATAMTRDVR', 'ZENSARTECH', 'ABFRL', 'ADANIPORTS', 'APOLLO', 'AUBANK', 'BALRAMCHIN', 'CAMLINFINE', 'DBL', 'DELTACORP', 'DHANI', 'HDFC', 'HDFCBANK', 'HINDALCO', 'INFY', 'INTELLECT', 'IRCTC', 'POONAWALLA', 'LATENTVIEW', 'SUPRIYA', 'JSWSTEEL (1)']"
20000,0.7,30,100,21,"['MOTHERSUMI', 'NIITLTD', 'OIL', 'TATAMOTORS', 'TATAMTRDVR', 'ABFRL', 'APOLLO', 'AUBANK', 'BALRAMCHIN', 'CAMLINFINE', 'DBL', 'DELTACORP', 'DHANI', 'HDFC', 'HINDALCO', 'INFY', 'INTELLECT', 'IRCTC', 'POONAWALLA', 'SUPRIYA', 'JSWSTEEL (1)']"
20000,1.0,25,100,23,"['M&M', 'NIITLTD', 'OIL', 'RESPONIND', 'TATACOMM', 'ZENSARTECH', 'ABFRL', 'ADANIPORTS', 'APOLLO', 'AUBANK', 'BALRAMCHIN', 'DBL', 'DELTACORP', 'DHANI', 'HDFC', 'HDFCBANK', 'HINDALCO', 'INFY', 'INTELLECT', 'IRCTC', 'LATENTVIEW', 'SUPRIYA', 'JSWSTEEL (1)']"
20000,1.0,30,100,16,"['NIITLTD', 'OIL', 'ABFRL', 'APOLLO', 'AUBANK', 'BALRAMCHIN', 'DBL', 'DELTACORP', 'DHANI', 'HDFC', 'HINDALCO', 'INFY', 'INTELLECT', 'IRCTC', 'SUPRIYA', 'JSWSTEEL (1)']"
50000,0.3,25,100,16,"['MOTHERSUMI', 'OIL', 'ONGC', 'RESPONIND', 'TATAMOTORS', 'BOMDYEING', 'CANBK', 'DELTACORP', 'GICRE', 'HDFCBANK', 'HINDALCO', 'IEX', 'INFY', 'SUPRIYA', 'COALINDIA (1)', 'JSWSTEEL (1)']"
50000,0.3,30,100,10,"['MOTHERSUMI', 'OIL', 'TATAMOTORS', 'DELTACORP', 'HINDALCO', 'IEX', 'INFY', 'SUPRIYA', 'COALINDIA (1)', 'JSWSTEEL (1)']"
50000,0.5,25,100,12,"['MOTHERSUMI', 'OIL', 'RESPONIND', 'TATAMOTORS', 'BOMDYEING', 'DELTACORP', 'GICRE', 'HDFCBANK', 'HINDALCO', 'INFY', 'SUPRIYA', 'JSWSTEEL (1)']"
50000,0.5,30,100,8,"['MOTHERSUMI', 'OIL', 'TATAMOTORS', 'DELTACORP', 'HINDALCO', 'INFY', 'SUPRIYA', 'JSWSTEEL (1)']"
50000,0.7,25,100,10,"['MOTHERSUMI', 'OIL', 'RESPONIND', 'TATAMOTORS', 'DELTACORP', 'HDFCBANK', 'HINDALCO', 'INFY', 'SUPRIYA', 'JSWSTEEL (1)']"
50000,0.7,30,100,8,"['MOTHERSUMI', 'OIL', 'TATAMOTORS', 'DELTACORP', 'HINDALCO', 'INFY', 'SUPRIYA', 'JSWSTEEL (1)']"
50000,1.0,25,100,8,"['OIL', 'RESPONIND', 'DELTACORP', 'HDFCBANK', 'HINDALCO', 'INFY', 'SUPRIYA', 'JSWSTEEL (1)']"
50000,1.0,30,100,6,"['OIL', 'DELTACORP', 'HINDALCO', 'INFY', 'SUPRIYA', 'JSWSTEEL (1)']"
100000,0.3,25,100,5,"['ONGC', 'TATAMOTORS', 'HINDALCO', 'SUPRIYA', 'COALINDIA (1)']"
100000,0.3,30,100,4,"['TATAMOTORS', 'HINDALCO', 'SUPRIYA', 'COALINDIA (1)']"
100000,0.5,25,100,3,"['TATAMOTORS', 'HINDALCO', 'SUPRIYA']"
100000,0.5,30,100,3,"['TATAMOTORS', 'HINDALCO', 'SUPRIYA']"
100000,0.7,25,100,3,"['TATAMOTORS', 'HINDALCO', 'SUPRIYA']"
100000,0.7,30,100,3,"['TATAMOTORS', 'HINDALCO', 'SUPRIYA']"
100000,1.0,25,100,2,"['HINDALCO', 'SUPRIYA']"
100000,1.0,30,100,2,"['HINDALCO', 'SUPRIYA']"
